HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer1
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,Describe Image,Question,2UFQY2RCJK633R25MVRK4IAQQGO5UB,A1QWMX55LGBRFL,Approved,Sun Feb 23 23:18:01 PST 2014,Sun Feb 23 23:18:45 PST 2014,"cute, glorious dress, great look"
2SVDP8PJWKUDH4LOG7H3JZ0BGYQ7IP,Describe Image,Question,2118D8J3VE7WWOHP3G73WCK8RQ4YIB,AYFD78FXIRIZS,Approved,Sun Feb 23 23:18:28 PST 2014,Sun Feb 23 23:18:45 PST 2014,pretty elegant summery
